op,size,cpu_time_2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
,,,,48774.4,
,,,,48900.9,
,,,,98326.1,
,,,,98864.6,
,,,,102859.0,
,,,,100552.0,
,,,,100771.0,
,,,,103830.0,
,,,,101487.0,
,,,,100937.0,
,,,,102543.0,
,,,,100432.0,
,,,,101060.0,
,,,,100854.0,
,,,,1710.57,
,,,,0.0169263,
,,,,102956.0,
,,,,103393.0,
,,,,103742.0,
,,,,199491.0,
,,,,201118.0,
,,,,207925.0,
,,,,199791.0,
,,,,204229.0,
,,,,201746.0,
,,,,201084.0,
,,,,202731.0,
,,,,202043.0,
,,,,202923.0,
,,,,202308.0,
,,,,201895.0,
,,,,2435.15,
,,,,0.0120368,
,,,,204599.0,
,,,,206262.0,
,,,,207592.0,
