op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushSortedDesc,1048576.0,830609000.0,p90,0.00790771,842765000.0
PushSortedDesc,1048576.0,834126000.0,p95,126740000.0,844267000.0
PushSortedDesc,1048576.0,836940000.0,p99,127132000.0,845469000.0
Extract,256.0,12412.8,mean,127446000.0,19343.7
Extract,256.0,12402.3,median,274975000.0,19199.2
Extract,256.0,257.543,stddev,280192000.0,387.933
Extract,256.0,0.0207482,cv,277481000.0,0.0200547
Extract,256.0,12714.7,p90,277178000.0,19698.3
Extract,256.0,12720.9,p95,278850000.0,19951.3
Extract,256.0,12725.8,p99,275358000.0,20153.7
Extract,512.0,34504.8,mean,276764000.0,48629.9
Extract,512.0,36190.3,median,277743000.0,47550.3
Extract,512.0,3381.44,stddev,276237000.0,2396.5
Extract,512.0,0.097999,cv,277737000.0,0.0492803
Extract,512.0,37311.9,p90,277252000.0,51605.1
Extract,512.0,37333.3,p95,277330000.0,52810.2
Extract,512.0,37350.4,p99,1555410.0,53774.2
Extract,1024.0,83360.2,mean,0.0056101,163754.0
Extract,1024.0,78805.4,median,278984000.0,163215.0
Extract,1024.0,8716.12,stddev,279588000.0,3208.9
Extract,1024.0,0.10456,cv,280072000.0,0.0195959
Extract,1024.0,95813.4,p90,6641.79,167599.0
Extract,1024.0,97362.3,p95,6679.81,168003.0
Extract,1024.0,98601.4,p99,6723.03,168326.0
Extract,2048.0,260533.0,mean,6622.22,417044.0
Extract,2048.0,260363.0,median,6757.51,417024.0
Extract,2048.0,1324.17,stddev,6967.37,3861.59
Extract,2048.0,0.00508256,cv,7048.8,0.00925944
Extract,2048.0,261979.0,p90,7049.65,421686.0
Extract,2048.0,262731.0,p95,7113.9,421935.0
Extract,2048.0,263332.0,p99,7105.47,422133.0
Extract,4096.0,679066.0,mean,6870.95,1055270.0
Extract,4096.0,675147.0,median,6862.44,1065110.0
Extract,4096.0,16770.1,stddev,203.455,28076.2
Extract,4096.0,0.0246958,cv,0.0296109,0.0266056
Extract,4096.0,699885.0,p90,7106.31,1082020.0
Extract,4096.0,700723.0,p95,7110.1,1089250.0
Extract,4096.0,701393.0,p99,7113.14,1095030.0
Extract,8192.0,1742170.0,mean,15430.5,2608030.0
Extract,8192.0,1732130.0,median,15344.7,2599200.0
Extract,8192.0,31148.9,stddev,15046.5,26151.3
Extract,8192.0,0.0178793,cv,15482.2,0.0100272
Extract,8192.0,1781110.0,p90,15261.0,2641750.0
Extract,8192.0,1782660.0,p95,15542.7,2647310.0
Extract,8192.0,1783910.0,p99,15205.3,2651760.0
Extract,16384.0,4199030.0,mean,15151.6,6337210.0
Extract,16384.0,4179540.0,median,15189.4,6336980.0
Extract,16384.0,64603.8,stddev,14815.5,76238.0
Extract,16384.0,0.0153854,cv,15246.9,0.0120302
Extract,16384.0,4298490.0,p90,15233.2,6419830.0
Extract,16384.0,4301840.0,p95,217.764,6442550.0
Extract,16384.0,4304520.0,p99,0.0142825,6460720.0
Extract,32768.0,10375500.0,mean,15488.3,14549200.0
Extract,32768.0,10363500.0,median,15515.5,14433400.0
Extract,32768.0,55082.0,stddev,15537.3,390686.0
Extract,32768.0,0.00530887,cv,30976.3,0.0268527
Extract,32768.0,10431100.0,p90,33633.9,15202800.0
Extract,32768.0,10469000.0,p95,31647.9,15233300.0
Extract,32768.0,10499400.0,p99,30961.0,15257800.0
Extract,65536.0,25602300.0,mean,34922.2,34225500.0
Extract,65536.0,25595600.0,median,32906.0,34366700.0
Extract,65536.0,158207.0,stddev,31138.0,462837.0
Extract,65536.0,0.00617941,cv,41666.1,0.0135232
Extract,65536.0,25780400.0,p90,39426.2,34667800.0
Extract,65536.0,25837000.0,p95,34900.0,34673200.0
Extract,65536.0,25882300.0,p99,34217.8,34677500.0
Extract,131072.0,63108600.0,mean,33270.0,79843200.0
Extract,131072.0,62928200.0,median,3694.3,79755200.0
Extract,131072.0,960972.0,stddev,0.107964,585186.0
Extract,131072.0,0.0152273,cv,39650.1,0.00732919
Extract,131072.0,63617500.0,p90,40658.1,80559200.0
Extract,131072.0,64617300.0,p95,41464.5,80648000.0
Extract,131072.0,65417200.0,p99,67496.8,80719000.0
Extract,262144.0,162503000.0,mean,67205.5,196949000.0
Extract,262144.0,162714000.0,median,66425.7,199761000.0
Extract,262144.0,1406940.0,stddev,66000.7,7085880.0
Extract,262144.0,0.00865796,cv,65208.2,0.0359782
Extract,262144.0,163857000.0,p90,65407.6,203544000.0
Extract,262144.0,164328000.0,p95,65017.7,204420000.0
Extract,262144.0,164706000.0,p99,65170.2,205120000.0
Extract,524288.0,390218000.0,mean,64945.5,511040000.0
Extract,524288.0,388235000.0,median,64633.5,506203000.0
Extract,524288.0,7640280.0,stddev,65751.1,17062900.0
Extract,524288.0,0.0195795,cv,65307.9,0.0333886
Extract,524288.0,399403000.0,p90,992.514,532811000.0
Extract,524288.0,403969000.0,p95,0.015095,533998000.0
Extract,524288.0,407621000.0,p99,67234.6,534948000.0
Extract,1048576.0,898564000.0,mean,67365.7,1156730000.0
Extract,1048576.0,884477000.0,median,67470.5,1158810000.0
Extract,1048576.0,31885100.0,stddev,220305.0,45391900.0
Extract,1048576.0,0.0354845,cv,208200.0,0.0392417
Extract,1048576.0,927916000.0,p90,198204.0,1203490000.0
Extract,1048576.0,952291000.0,p95,199833.0,1209480000.0
Extract,1048576.0,971791000.0,p99,197911.0,1214260000.0
Remove,256.0,23266.1,mean,197914.0,23445.2
Remove,256.0,23258.7,median,212683.0,23430.4
Remove,256.0,178.071,stddev,223549.0,130.343
Remove,256.0,0.00765368,cv,232777.0,0.00555947
Remove,256.0,23418.6,p90,217779.0,23567.6
Remove,256.0,23525.3,p95,210915.0,23612.6
Remove,256.0,23610.6,p99,210442.0,23648.6
,,,,12498.3,114258.0
,,,,0.0592575,113074.0
,,,,224472.0,6648.41
,,,,228625.0,0.0581877
,,,,231947.0,121253.0
,,,,480605.0,121437.0
,,,,487187.0,121585.0
,,,,486979.0,508867.0
,,,,487784.0,492763.0
,,,,487177.0,27127.6
,,,,486703.0,0.0533098
,,,,484951.0,539003.0
,,,,477234.0,540307.0
,,,,472949.0,541350.0
,,,,479439.0,1791100.0
,,,,483101.0,1795640.0
,,,,485827.0,13442.6
,,,,5204.62,0.00750525
,,,,0.0107734,1800290.0
,,,,487246.0,1801260.0
,,,,487515.0,1802040.0
,,,,487730.0,11193200.0
,,,,1001760.0,11100800.0
,,,,1008240.0,228287.0
,,,,1004230.0,0.0203951
,,,,1004650.0,11430900.0
,,,,998258.0,11507300.0
,,,,1001070.0,11568500.0
,,,,1002980.0,33038500.0
,,,,998978.0,32679100.0
,,,,998477.0,1014350.0
